date,sentiment_mean,sentiment_std,tweet_count,sentiment_dist,btc_price,btc_volume,btc_change,btc_change_abs
2024-01-25,0.0297327813560791,0.3340203650260827,46,"{'positive': 21, 'neutral': 15, 'negative': 10}",39933.80859375,18491782013,-0.0035747525934159974,-143.265625
2024-01-26,-0.061715735199346027,0.338720405304336,47,"{'positive': 18, 'negative': 15, 'neutral': 14}",41816.87109375,25598119893,0.04715459322091098,1883.0625
2024-01-27,-0.05466832948150113,0.3408706679490826,44,"{'positive': 24, 'negative': 13, 'neutral': 7}",42120.0546875,11422941934,0.007250269707417489,303.18359375
2024-01-28,-0.07562038975433921,0.25146023077388974,53,"{'neutral': 20, 'positive': 19, 'negative': 14}",42035.59375,16858971687,-0.002005242826170095,-84.4609375
2024-01-29,-0.028336712771782742,0.29346605752783855,42,"{'positive': 22, 'neutral': 13, 'negative': 7}",43288.24609375,20668476578,0.029799801358818767,1252.65234375
2024-01-30,-0.047386105862204674,0.30406517614775747,54,"{'positive': 24, 'neutral': 15, 'negative': 15}",42952.609375,23842814518,-0.007753530092744043,-335.63671875
2024-01-31,-0.06650016144545667,0.28819323571719757,46,"{'negative': 16, 'neutral': 16, 'positive': 14}",42582.60546875,24673628793,-0.00861423582021903,-370.00390625
2024-02-01,-0.06777450892154892,0.33563816316322514,39,"{'positive': 13, 'neutral': 13, 'negative': 13}",43075.7734375,21423953779,0.011581441842771323,493.16796875
2024-02-02,-0.05618821030594003,0.4112131420536356,46,"{'positive': 19, 'negative': 17, 'neutral': 10}",43185.859375,18603843039,0.0025556346111748063,110.0859375
2024-02-03,0.0008849342276031773,0.3575363160810446,45,"{'positive': 22, 'neutral': 12, 'negative': 11}",42992.25,11169245236,-0.0044831659668692625,-193.609375
2024-02-04,0.012255539204407898,0.34600130046684796,45,"{'positive': 20, 'neutral': 14, 'negative': 11}",42583.58203125,14802225490,-0.009505619472114146,-408.66796875
2024-02-05,-0.11199345105783419,0.2801767559498529,47,"{'positive': 21, 'negative': 15, 'neutral': 11}",42658.66796875,18715487317,0.0017632602500394778,75.0859375
2024-02-06,-0.031489596838305184,0.38108520190935685,59,"{'positive': 24, 'negative': 22, 'neutral': 13}",43084.671875,16798476726,0.009986338686479135,426.00390625
2024-02-07,-0.062419978834867,0.33776491114126694,47,"{'positive': 21, 'negative': 14, 'neutral': 12}",44318.22265625,21126587775,0.028630850081180936,1233.55078125
2024-02-08,-0.1137591113066791,0.24830799442738613,57,"{'neutral': 23, 'positive': 18, 'negative': 16}",45301.56640625,26154524080,0.022188248784866804,983.34375
2024-02-09,0.02629713921972628,0.3441245913960344,48,"{'positive': 27, 'negative': 12, 'neutral': 9}",47147.19921875,39316770844,0.040741037427910465,1845.6328125
2024-02-10,-0.10264083890069742,0.31557288530267913,48,"{'negative': 20, 'neutral': 15, 'positive': 13}",47771.27734375,16398681570,0.013236801662479536,624.078125
2024-02-11,-0.07645724015563483,0.31987408310281534,46,"{'positive': 26, 'neutral': 13, 'negative': 7}",48293.91796875,19315867136,0.010940478338881565,522.640625
2024-02-12,-0.11353082897182068,0.24929343385021552,46,"{'positive': 22, 'neutral': 15, 'negative': 9}",49958.22265625,34511985805,0.034461993507690414,1664.3046875
2024-02-13,-0.05224992774426937,0.3431637030600666,50,"{'negative': 20, 'positive': 17, 'neutral': 13}",49742.44140625,35593051468,-0.004319233922406296,-215.78125
2024-02-14,-0.05300670914078617,0.39656539380119926,46,"{'positive': 18, 'negative': 18, 'neutral': 10}",51826.6953125,39105608050,0.041900916949929146,2084.25390625
2024-02-15,0.009324316082674325,0.34761866801154157,49,"{'positive': 22, 'neutral': 16, 'negative': 11}",51938.5546875,38564360533,0.0021583350882306007,111.859375
2024-02-16,0.028832266505600678,0.35781385575942265,45,"{'positive': 19, 'neutral': 14, 'negative': 12}",52160.203125,28180567298,0.004267512618200353,221.6484375
2024-02-17,-0.11048559477785602,0.29618113546796326,48,"{'negative': 18, 'neutral': 17, 'positive': 13}",51662.99609375,20009091006,-0.009532306269177337,-497.20703125
2024-02-18,0.002376333831947435,0.3640995162821977,54,"{'positive': 23, 'neutral': 20, 'negative': 11}",52122.546875,17595377311,0.008895163192163213,459.55078125
2024-02-19,-0.005704952085408259,0.3823386265206009,53,"{'positive': 21, 'negative': 20, 'neutral': 12}",51779.14453125,21362184346,-0.006588364620277343,-343.40234375
2024-02-20,-0.07111744791250296,0.28396857293912425,49,"{'neutral': 18, 'negative': 18, 'positive': 13}",52284.875,33353758256,0.009767068832988945,505.73046875
2024-02-21,-0.07257296962779947,0.32147210818347227,52,"{'positive': 22, 'neutral': 16, 'negative': 14}",51839.1796875,28624907020,-0.008524364120598982,-445.6953125
2024-02-22,-0.04145676335061176,0.3039948457905178,45,"{'positive': 21, 'negative': 14, 'neutral': 10}",51304.97265625,25413900611,-0.010305082651198116,-534.20703125
2024-02-23,0.005645536590458416,0.36348999911380936,41,"{'positive': 18, 'neutral': 13, 'negative': 10}",50731.94921875,21427078270,-0.011168964874795462,-573.0234375
2024-02-24,-0.06337859256731748,0.3279564921270653,51,"{'positive': 18, 'negative': 17, 'neutral': 16}",51571.1015625,15174077879,0.016540904827679226,839.15234375
2024-02-25,-0.055804969061379474,0.3141622963217683,48,"{'positive': 20, 'neutral': 16, 'negative': 12}",51733.23828125,15413239245,0.003143945229742817,162.13671875
2024-02-26,-0.05751832465863448,0.3762562878595161,44,"{'negative': 16, 'positive': 16, 'neutral': 12}",54522.40234375,34074411896,0.053914352844811164,2789.1640625
2024-02-27,-0.12240757620761628,0.3481154414818001,53,"{'negative': 23, 'positive': 16, 'neutral': 14}",57085.37109375,49756832031,0.04700762695380023,2562.96875
2024-02-28,0.004825017754729761,0.33608521345806996,49,"{'positive': 23, 'neutral': 19, 'negative': 7}",62504.7890625,83239156760,0.09493531994124749,5419.41796875
2024-02-29,-0.07059413925795209,0.30242100025760027,46,"{'positive': 21, 'neutral': 16, 'negative': 9}",61198.3828125,65496611844,-0.020900898468654838,-1306.40625
